id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,rating
753809687233713202,Home in Vancouver · 4 bedrooms · 4 beds · 2.5 baths,34696573,Cammy,,Kerrisdale,49.2221,-123.15776,entire home/apt,393.0,30,0,,,2,108,0,21-156371,4.799709437963944
753947527279759717,Condo in Vancouver · ★5.0 · 1 bedroom · 2 beds · 1 bath,279013239,Zheng,,Downtown,49.27766,-123.12871,entire home/apt,163.0,3,27,2023-12-01,2.54,1,24,27,23-168073,5.0
754269133259938444,Guest suite in Vancouver · ★5.0 · Studio · 1 bed · 1 bath,1006272,Henny,,Grandview-Woodland,49.27199,-123.06704,entire home/apt,,30,8,2023-10-12,0.65,1,0,7,,5.0
754278773699646795,Condo in Vancouver · ★4.88 · 2 bedrooms · 2 beds · 1 bath,373627979,Elisa,,Mount Pleasant,49.2688915,-123.1012099,entire home/apt,146.0,2,47,2023-12-02,5.09,1,0,47,23-183087,4.88
754337838073783395,Home in Vancouver · ★4.79 · 1 bedroom · 1 bed · 1 private bath,486611410,Devki,,Sunset,49.2156,-123.09924,private room,86.0,2,78,2023-10-17,6.24,1,344,77,22-303718,4.79
754400122144493844,Home in Vancouver · ★4.66 · 3 bedrooms · 5 beds · 2.5 baths,486627676,Shu,,Dunbar Southlands,49.2306515,-123.1844412,entire home/apt,,30,29,2023-09-24,2.23,1,0,27,23-158631,4.66
754474494838555627,Condo in Vancouver · ★4.75 · 1 bedroom · 1 bed · 1 bath,349804247,El,,Mount Pleasant,49.2621141,-123.0995228,entire home/apt,105.0,30,4,2023-10-11,0.61,43,128,4,,4.75
754645771023055367,Condo in Vancouver · 1 bedroom · 1 bed · 1 bath,58955378,Denis,,Downtown,49.27817,-123.12811,entire home/apt,93.0,30,2,2023-09-15,0.19,2,0,2,,4.799709437963944
754652046997956433,Rental unit in Vancouver · ★4.83 · 2 bedrooms · 2 beds · 1 bath,113861163,Jessica,,Arbutus Ridge,49.2555,-123.15815,entire home/apt,120.0,30,24,2023-10-21,2.08,1,230,24,22-310893,4.83
754817782255139085,Rental unit in Vancouver · ★4.95 · 1 bedroom · 1 bed · 1 bath,486684222,Ervin,,Mount Pleasant,49.27059,-123.10886,entire home/apt,128.0,2,61,2023-11-19,4.79,1,322,59,23-158652,4.95
